latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,city
53.8905,-116.523,329.5,1.1,1.1,2006-12-22,1916,Terra,MODIS,86,6.03,269.8,41.1,D,0,Edson
53.3617,-116.2909,305.5,1.2,1.1,2006-12-22,1917,Terra,MODIS,62,6.03,266.8,16.0,D,0,Edson
53.3586,-116.2817,321.7,1.5,1.2,2006-12-22,2104,Aqua,MODIS,81,6.03,270.1,46.2,D,0,Edson
53.3567,-116.3044,362.4,1.5,1.2,2006-12-22,2104,Aqua,MODIS,100,6.03,273.7,182.0,D,0,Edson
53.8929,-116.5406,344.6,1.5,1.2,2006-12-22,2104,Aqua,MODIS,94,6.03,272.5,104.9,D,0,Edson
53.9615,-116.0908,312.5,3.0,1.7,2007-01-03,2128,Aqua,MODIS,73,6.03,272.4,83.9,D,0,Edson
53.9341,-116.559,306.0,1.5,1.2,2007-01-07,2104,Aqua,MODIS,54,6.03,270.7,20.7,D,0,Edson
53.9578,-116.5404,329.9,1.5,1.2,2007-01-07,2104,Aqua,MODIS,77,6.03,272.3,58.1,D,0,Edson
53.9687,-116.5428,321.3,1.5,1.2,2007-01-07,2104,Aqua,MODIS,81,6.03,272.3,44.4,D,0,Edson
53.8915,-116.6718,308.4,2.9,1.6,2007-01-19,2129,Aqua,MODIS,67,6.03,272.3,65.0,D,0,Edson
53.1675,-116.1511,303.3,1.2,1.1,2007-01-23,0546,Terra,MODIS,55,6.03,266.7,13.6,N,0,Edson
54.0716,-116.4736,318.3,1.0,1.0,2007-01-25,0534,Terra,MODIS,91,6.03,275.3,19.9,N,0,Edson
53.6523,-116.0836,311.9,1.9,1.3,2007-06-01,1822,Terra,MODIS,66,6.03,297.6,17.8,D,0,Edson
53.4966,-116.8064,313.7,1.0,1.0,2007-07-13,2045,Aqua,MODIS,56,6.03,303.6,5.5,D,0,Edson
53.0956,-116.2258,302.3,1.4,1.2,2007-07-25,1923,Terra,MODIS,26,6.03,291.1,4.9,D,0,Edson
53.5764,-116.5548,317.1,1.1,1.0,2007-07-27,1911,Terra,MODIS,70,6.03,300.5,9.9,D,0,Edson
53.579,-116.5704,337.9,1.1,1.0,2007-07-27,1911,Terra,MODIS,90,6.03,301.5,37.6,D,0,Edson
53.5843,-116.4313,304.3,1.0,1.0,2007-08-14,1859,Terra,MODIS,36,6.03,294.0,4.5,D,2,Edson
53.7673,-116.0688,301.6,1.3,1.1,2007-11-14,1923,Terra,MODIS,48,6.03,273.2,13.4,D,0,Edson
53.4739,-116.1887,303.3,2.9,1.6,2007-12-19,1953,Terra,MODIS,55,6.03,267.8,52.7,D,0,Edson
53.4635,-116.2092,303.6,1.6,1.3,2007-12-19,2002,Aqua,MODIS,51,6.03,267.7,22.0,D,0,Edson
53.4557,-116.1662,330.2,1.1,1.0,2007-12-20,2045,Aqua,MODIS,0,6.03,269.9,38.8,D,0,Edson
53.2542,-116.8857,310.2,2.3,1.5,2008-01-13,1948,Terra,MODIS,33,6.03,270.2,48.5,D,0,Edson
53.2585,-116.8898,307.1,2.3,1.5,2008-01-13,1948,Terra,MODIS,65,6.03,271.1,43.7,D,0,Edson
53.2495,-116.9094,316.3,2.1,1.4,2008-01-13,1956,Aqua,MODIS,66,6.03,273.8,54.3,D,0,Edson
53.2472,-116.8089,305.0,1.0,1.0,2008-02-15,1853,Terra,MODIS,46,6.03,276.3,10.3,D,0,Edson
53.2609,-116.908,312.3,1.7,1.3,2008-02-19,1828,Terra,MODIS,72,6.03,276.1,35.0,D,0,Edson
53.2563,-116.9114,310.7,1.3,1.1,2008-02-19,2015,Aqua,MODIS,70,6.03,278.7,20.5,D,0,Edson
53.453,-115.9657,300.9,1.1,1.0,2008-02-20,1911,Terra,MODIS,43,6.03,274.4,10.1,D,0,Edson
53.2413,-116.8055,367.6,1.1,1.0,2008-02-20,1911,Terra,MODIS,94,6.03,279.3,121.6,D,0,Edson
53.235,-116.8248,323.5,1.1,1.0,2008-02-20,1911,Terra,MODIS,78,6.03,273.9,27.7,D,0,Edson
53.2324,-116.8095,352.1,1.1,1.0,2008-02-20,1911,Terra,MODIS,91,6.03,275.6,77.7,D,0,Edson
53.2483,-116.8077,323.6,1.3,1.1,2008-02-20,2057,Aqua,MODIS,81,6.03,278.0,32.9,D,0,Edson
